5.065916e+001,2.667577e+003
5.258762e+001,2.577107e+003
5.451609e+001,2.494590e+003
5.644456e+001,2.476965e+003
5.837302e+001,2.469455e+003
6.030149e+001,2.382805e+003
6.222996e+001,2.292032e+003
6.415842e+001,2.242197e+003
6.608689e+001,2.203577e+003
6.801536e+001,2.169588e+003
6.994382e+001,2.166957e+003
7.187229e+001,2.108932e+003
7.380076e+001,2.047631e+003
7.572923e+001,1.996404e+003
7.765769e+001,1.949188e+003
7.958616e+001,1.876650e+003
8.151463e+001,1.801822e+003
8.344309e+001,1.751139e+003
8.537156e+001,1.707708e+003
8.730003e+001,1.634309e+003
8.922849e+001,1.518719e+003
9.115696e+001,1.408655e+003
9.308543e+001,1.285421e+003
9.501389e+001,1.157152e+003
9.694236e+001,1.062490e+003
9.887083e+001,9.726855e+002
1.007993e+002,8.813215e+002
1.027278e+002,8.009974e+002
1.046562e+002,7.412679e+002
1.065847e+002,6.967450e+002
1.085132e+002,6.441111e+002
1.104416e+002,5.893202e+002
1.123701e+002,5.325859e+002
1.142986e+002,4.769387e+002
1.162270e+002,4.430297e+002
1.181555e+002,4.183811e+002
1.200840e+002,3.831677e+002
1.220124e+002,3.423661e+002
1.239409e+002,3.154360e+002
1.258694e+002,2.980543e+002
1.277978e+002,2.741707e+002
1.297263e+002,2.570754e+002
1.316548e+002,2.483000e+002
1.335832e+002,2.327413e+002
1.355117e+002,2.003450e+002
1.374402e+002,1.841121e+002
1.393686e+002,1.809495e+002
1.412971e+002,1.810470e+002
1.432256e+002,1.771272e+002
1.451540e+002,1.495469e+002
1.470825e+002,1.443778e+002
1.490110e+002,1.445652e+002
1.509394e+002,1.320193e+002
1.528679e+002,1.429666e+002
1.547964e+002,1.335037e+002
1.567248e+002,1.155984e+002
1.586533e+002,9.925037e+001
1.605818e+002,9.094128e+001
1.625102e+002,8.947375e+001
1.644387e+002,8.960803e+001
1.663672e+002,7.735413e+001
1.682956e+002,4.943384e+001
1.702241e+002,1.437708e+001
1.721526e+002,2.378418e+000
1.740810e+002,-1.299286e+001
1.760095e+002,-2.918561e+001
1.779380e+002,-4.005719e+001
1.798664e+002,-4.143750e+001
1.817949e+002,-5.374512e+001
1.837234e+002,-5.564429e+001
1.856518e+002,-5.563995e+001
1.875803e+002,-6.614130e+001
1.895088e+002,-9.443054e+001
1.914372e+002,-9.094434e+001
1.933657e+002,-9.268933e+001
